stratum,reported_km,component,endpoint,n_a,n_b,gm_ratio,ci_lo,ci_hi,half_width_ln,sd_ratio,ks,verdict
mini@48km,48.1346,ver,pSA(5),2500,2500,0.990380,0.979707,1.001170,0.010836,0.9912,0.0228,undetermined
mini@85km,84.6231,090,PGA,2500,2500,1.003999,0.996413,1.011643,0.007584,0.9983,0.0288,certified
mini@85km,84.6231,090,PGV,2500,2500,1.001708,0.993779,1.009700,0.007947,0.9979,0.0176,certified
mini@85km,84.6231,090,AI,2500,2500,1.004543,0.994651,1.014534,0.009897,0.9987,0.0220,certified
mini@85km,84.6231,090,CAV,2500,2500,1.001687,0.996959,1.006437,0.004731,1.0043,0.0228,certified
mini@85km,84.6231,090,Ds575,2500,2500,0.997136,0.992883,1.001406,0.004273,0.9915,0.0288,certified
mini@85km,84.6231,090,Ds595,2500,2500,0.998003,0.995441,1.000571,0.002570,1.0050,0.0212,certified
mini@85km,84.6231,090,pSA(0.01),2500,2500,1.004006,0.996426,1.011644,0.007579,0.9982,0.0284,certified
mini@85km,84.6231,090,pSA(0.02),2500,2500,1.004042,0.996486,1.011655,0.007554,0.9971,0.0300,certified
mini@85km,84.6231,090,pSA(0.03),2500,2500,1.003846,0.996349,1.011399,0.007496,0.9951,0.0260,certified
mini@85km,84.6231,090,pSA(0.05),2500,2500,1.003342,0.996028,1.010709,0.007316,1.0275,0.0264,certified
mini@85km,84.6231,090,pSA(0.075),2500,2500,0.997736,0.990160,1.005369,0.007622,0.9940,0.0152,certified
mini@85km,84.6231,090,pSA(0.1),2500,2500,1.002244,0.994376,1.010174,0.007881,1.0055,0.0264,certified
mini@85km,84.6231,090,pSA(0.15),2500,2500,1.004753,0.996037,1.013544,0.008712,0.9880,0.0344,certified
mini@85km,84.6231,090,pSA(0.2),2500,2500,0.999093,0.989901,1.008371,0.009244,0.9726,0.0256,certified
mini@85km,84.6231,090,pSA(0.25),2500,2500,1.002297,0.992519,1.012172,0.009804,1.0011,0.0188,certified
mini@85km,84.6231,090,pSA(0.3),2500,2500,1.003727,0.993477,1.014082,0.010264,1.0046,0.0212,certified
mini@85km,84.6231,090,pSA(0.4),2500,2500,1.005910,0.995207,1.016728,0.010697,1.0000,0.0340,certified
mini@85km,84.6231,090,pSA(0.5),2500,2500,1.003052,0.992085,1.014139,0.010993,1.0070,0.0180,certified
mini@85km,84.6231,090,pSA(0.75),2500,2500,1.001030,0.988978,1.013229,0.012112,0.9773,0.0172,certified
mini@85km,84.6231,090,pSA(1),2500,2500,1.018602,1.005607,1.031765,0.012840,0.9893,0.0468,undetermined
mini@85km,84.6231,090,pSA(1.5),2500,2500,1.012529,0.999534,1.025693,0.012917,1.0334,0.0268,undetermined
mini@85km,84.6231,090,pSA(2),2500,2500,0.996732,0.984039,1.009588,0.012816,0.9910,0.0176,certified
mini@85km,84.6231,090,pSA(3),2500,2500,0.996588,0.984177,1.009156,0.012532,0.9938,0.0188,certified
